Ride,Date/Time,Wait Time
Kali River Rapids,2019-03-23 10:05:02,15
Kali River Rapids,2019-03-23 10:10:02,20
Kali River Rapids,2019-03-23 10:15:02,20
Kali River Rapids,2019-03-23 10:20:02,25
Kali River Rapids,2019-03-23 10:25:02,20
Kali River Rapids,2019-03-23 10:30:03,20
Kali River Rapids,2019-03-23 10:35:02,20
Kali River Rapids,2019-03-23 10:40:02,25
Kali River Rapids,2019-03-23 10:45:02,25
Kali River Rapids,2019-03-23 10:50:02,25
Kali River Rapids,2019-03-23 10:55:02,25
Kali River Rapids,2019-03-23 11:00:02,25
Kali River Rapids,2019-03-23 11:05:01,25
Kali River Rapids,2019-03-23 11:10:02,25
Kali River Rapids,2019-03-23 11:15:02,30
Kali River Rapids,2019-03-23 11:20:02,35
Kali River Rapids,2019-03-23 11:25:02,35
Kali River Rapids,2019-03-23 11:30:02,35
Kali River Rapids,2019-03-23 11:35:02,40
Kali River Rapids,2019-03-23 11:40:02,40
Kali River Rapids,2019-03-23 11:45:02,40
Kali River Rapids,2019-03-23 11:50:02,35
Kali River Rapids,2019-03-23 11:55:02,35
Kali River Rapids,2019-03-23 12:00:02,30
Kali River Rapids,2019-03-23 12:05:02,30
Kali River Rapids,2019-03-23 12:10:02,30
Kali River Rapids,2019-03-23 12:15:02,30
Kali River Rapids,2019-03-23 12:20:02,30
Kali River Rapids,2019-03-23 12:25:02,30
Kali River Rapids,2019-03-23 12:30:02,35
Kali River Rapids,2019-03-23 12:35:02,35
Kali River Rapids,2019-03-23 12:40:02,35
Kali River Rapids,2019-03-23 12:45:02,35
Kali River Rapids,2019-03-23 12:50:02,40
Kali River Rapids,2019-03-23 12:55:02,40
Kali River Rapids,2019-03-23 13:00:03,40
Kali River Rapids,2019-03-23 13:05:02,90
Kali River Rapids,2019-03-23 13:10:02,90
Kali River Rapids,2019-03-23 13:15:02,90
Kali River Rapids,2019-03-23 13:20:02,90
Kali River Rapids,2019-03-23 13:25:02,90
Kali River Rapids,2019-03-23 13:30:02,90
Kali River Rapids,2019-03-23 13:35:02,90
Kali River Rapids,2019-03-23 13:40:02,90
Kali River Rapids,2019-03-23 14:10:02,45
Kali River Rapids,2019-03-23 14:45:02,45
Kali River Rapids,2019-03-23 14:50:02,25
Kali River Rapids,2019-03-23 14:55:02,30
Kali River Rapids,2019-03-23 15:00:02,30
Kali River Rapids,2019-03-23 15:05:02,30
Kali River Rapids,2019-03-23 15:10:02,35
Kali River Rapids,2019-03-23 15:15:02,70
Kali River Rapids,2019-03-23 15:20:02,45
Kali River Rapids,2019-03-23 15:25:02,90
Kali River Rapids,2019-03-23 15:30:02,90
Kali River Rapids,2019-03-23 15:35:02,90
Kali River Rapids,2019-03-23 15:40:02,90
Kali River Rapids,2019-03-23 15:45:03,90
Kali River Rapids,2019-03-23 15:50:02,90
Kali River Rapids,2019-03-23 15:55:02,75
Kali River Rapids,2019-03-23 16:00:02,75
Kali River Rapids,2019-03-23 16:05:02,75
Kali River Rapids,2019-03-23 16:10:02,75
Kali River Rapids,2019-03-23 16:15:02,75
Kali River Rapids,2019-03-23 16:20:02,75
Kali River Rapids,2019-03-23 16:25:02,75
Kali River Rapids,2019-03-23 16:30:02,65
Kali River Rapids,2019-03-23 16:35:02,70
Kali River Rapids,2019-03-23 16:40:02,70
Kali River Rapids,2019-03-23 16:45:02,70
Kali River Rapids,2019-03-23 16:50:02,60
Kali River Rapids,2019-03-23 16:55:02,55
Kali River Rapids,2019-03-23 17:00:02,60
Kali River Rapids,2019-03-23 17:05:02,55
Kali River Rapids,2019-03-23 17:10:02,55
Kali River Rapids,2019-03-23 17:15:02,50
Kali River Rapids,2019-03-23 17:20:02,45
Kali River Rapids,2019-03-23 17:25:02,35
Kali River Rapids,2019-03-23 17:30:02,35
Kali River Rapids,2019-03-23 17:35:02,30
Kali River Rapids,2019-03-23 17:40:02,25
Kali River Rapids,2019-03-23 17:45:02,25
Kali River Rapids,2019-03-23 17:50:02,25
Kali River Rapids,2019-03-23 17:55:02,25
Kali River Rapids,2019-03-23 18:00:02,30
Kali River Rapids,2019-03-23 18:05:02,25
Kali River Rapids,2019-03-23 18:10:02,25
Kali River Rapids,2019-03-23 18:15:02,25
Kali River Rapids,2019-03-23 18:20:02,25
Kali River Rapids,2019-03-23 18:25:02,25
Kali River Rapids,2019-03-23 18:30:02,30
Kali River Rapids,2019-03-23 18:35:02,30
Kali River Rapids,2019-03-23 18:40:02,30
Kali River Rapids,2019-03-23 18:45:02,30
Kali River Rapids,2019-03-23 18:50:02,30
Kali River Rapids,2019-03-23 18:55:02,25
Kali River Rapids,2019-03-23 19:00:02,25
Kali River Rapids,2019-03-23 19:05:02,25
Kali River Rapids,2019-03-23 19:10:02,25
Kali River Rapids,2019-03-23 19:15:02,25
Kali River Rapids,2019-03-23 19:20:02,25
Kali River Rapids,2019-03-23 19:25:02,25
Kali River Rapids,2019-03-23 19:30:02,25
Kali River Rapids,2019-03-23 19:35:02,25
Kali River Rapids,2019-03-23 19:40:02,15
Kali River Rapids,2019-03-23 19:45:02,15
Kali River Rapids,2019-03-23 19:50:02,15
Kali River Rapids,2019-03-23 19:55:02,15
Kali River Rapids,2019-03-23 20:00:02,5
Kali River Rapids,2019-03-24 09:05:02,5
Kali River Rapids,2019-03-24 09:10:01,5
Kali River Rapids,2019-03-24 09:15:02,5
Kali River Rapids,2019-03-24 09:20:02,5
Kali River Rapids,2019-03-24 09:25:02,5
Kali River Rapids,2019-03-24 09:30:02,5
Kali River Rapids,2019-03-24 09:35:02,5
Kali River Rapids,2019-03-24 09:40:03,5
Kali River Rapids,2019-03-24 09:45:02,15
Kali River Rapids,2019-03-24 09:50:02,15
Kali River Rapids,2019-03-24 09:55:02,15
Kali River Rapids,2019-03-24 10:00:02,15
Kali River Rapids,2019-03-24 10:05:02,15
Kali River Rapids,2019-03-24 10:10:02,20
Kali River Rapids,2019-03-24 10:15:02,20
Kali River Rapids,2019-03-24 10:20:02,25
Kali River Rapids,2019-03-24 10:25:02,25
Kali River Rapids,2019-03-24 10:30:02,25
Kali River Rapids,2019-03-24 10:35:01,25
Kali River Rapids,2019-03-24 10:40:02,25
Kali River Rapids,2019-03-24 10:45:02,25
Kali River Rapids,2019-03-24 10:50:02,30
Kali River Rapids,2019-03-24 10:55:02,30
Kali River Rapids,2019-03-24 11:00:02,30
Kali River Rapids,2019-03-24 11:05:02,30
Kali River Rapids,2019-03-24 11:10:02,30
Kali River Rapids,2019-03-24 11:15:03,30
Kali River Rapids,2019-03-24 11:20:02,30
Kali River Rapids,2019-03-24 11:25:02,30
Kali River Rapids,2019-03-24 11:30:02,30
Kali River Rapids,2019-03-24 11:35:02,30
Kali River Rapids,2019-03-24 11:40:02,30
Kali River Rapids,2019-03-24 11:45:02,35
Kali River Rapids,2019-03-24 11:50:02,35
Kali River Rapids,2019-03-24 11:55:02,40
Kali River Rapids,2019-03-24 12:00:03,40
Kali River Rapids,2019-03-24 12:05:02,35
Kali River Rapids,2019-03-24 12:10:02,35
Kali River Rapids,2019-03-24 12:15:02,40
Kali River Rapids,2019-03-24 12:20:02,45
Kali River Rapids,2019-03-24 12:25:02,45
Kali River Rapids,2019-03-24 12:35:02,40
Kali River Rapids,2019-03-24 12:40:02,40
Kali River Rapids,2019-03-24 12:45:02,40
Kali River Rapids,2019-03-24 12:50:02,45
Kali River Rapids,2019-03-24 12:55:02,45
Kali River Rapids,2019-03-24 13:00:02,45
Kali River Rapids,2019-03-24 13:05:02,45
Kali River Rapids,2019-03-24 13:10:02,45
Kali River Rapids,2019-03-24 13:15:02,40
Kali River Rapids,2019-03-24 13:20:02,45
Kali River Rapids,2019-03-24 13:25:02,45
Kali River Rapids,2019-03-24 13:30:02,45
Kali River Rapids,2019-03-24 13:35:02,45
Kali River Rapids,2019-03-24 13:40:02,45
Kali River Rapids,2019-03-24 13:45:02,50
Kali River Rapids,2019-03-24 13:50:02,50
Kali River Rapids,2019-03-24 13:55:02,50
Kali River Rapids,2019-03-24 14:00:03,50
Kali River Rapids,2019-03-24 14:05:03,70
Kali River Rapids,2019-03-24 14:10:02,70
Kali River Rapids,2019-03-24 14:15:02,70
Kali River Rapids,2019-03-24 14:20:02,70
Kali River Rapids,2019-03-24 14:25:02,70
Kali River Rapids,2019-03-24 14:30:02,70
Kali River Rapids,2019-03-24 14:35:02,80
Kali River Rapids,2019-03-24 14:40:02,80
Kali River Rapids,2019-03-24 14:45:02,85
Kali River Rapids,2019-03-24 14:50:02,85
Kali River Rapids,2019-03-24 14:55:02,85
Kali River Rapids,2019-03-24 15:00:02,85
Kali River Rapids,2019-03-24 15:05:02,85
Kali River Rapids,2019-03-24 15:10:02,60
Kali River Rapids,2019-03-24 15:15:02,50
Kali River Rapids,2019-03-24 15:20:02,40
Kali River Rapids,2019-03-24 15:25:02,40
Kali River Rapids,2019-03-24 15:30:02,40
Kali River Rapids,2019-03-24 15:35:02,30
Kali River Rapids,2019-03-24 15:40:02,30
Kali River Rapids,2019-03-24 15:45:02,35
Kali River Rapids,2019-03-24 15:50:02,40
Kali River Rapids,2019-03-24 15:55:02,35
Kali River Rapids,2019-03-24 16:00:02,40
Kali River Rapids,2019-03-24 16:05:02,40
Kali River Rapids,2019-03-24 16:10:02,40
Kali River Rapids,2019-03-24 16:15:03,40
Kali River Rapids,2019-03-24 16:20:02,45
Kali River Rapids,2019-03-24 16:25:02,45
Kali River Rapids,2019-03-24 16:30:02,50
Kali River Rapids,2019-03-24 16:35:02,50
Kali River Rapids,2019-03-24 16:40:02,50
Kali River Rapids,2019-03-24 16:45:02,45
Kali River Rapids,2019-03-24 16:50:03,45
Kali River Rapids,2019-03-24 16:55:02,55
Kali River Rapids,2019-03-24 17:00:03,45
Kali River Rapids,2019-03-24 17:05:01,45
Kali River Rapids,2019-03-24 17:10:02,40
Kali River Rapids,2019-03-24 17:15:02,40
Kali River Rapids,2019-03-24 17:20:02,35
Kali River Rapids,2019-03-24 17:25:02,40
Kali River Rapids,2019-03-24 17:30:02,40
Kali River Rapids,2019-03-24 17:35:02,25
Kali River Rapids,2019-03-24 17:40:01,25
Kali River Rapids,2019-03-24 17:45:02,20
Kali River Rapids,2019-03-24 17:50:02,20
Kali River Rapids,2019-03-24 17:55:02,20
Kali River Rapids,2019-03-24 18:00:02,20
Kali River Rapids,2019-03-24 18:05:02,20
Kali River Rapids,2019-03-24 18:10:02,20
Kali River Rapids,2019-03-24 18:15:02,25
Kali River Rapids,2019-03-24 18:20:03,20
Kali River Rapids,2019-03-24 18:25:02,20
Kali River Rapids,2019-03-24 18:30:02,20
Kali River Rapids,2019-03-24 18:35:02,20
Kali River Rapids,2019-03-24 18:40:02,20
Kali River Rapids,2019-03-24 18:55:02,15
Kali River Rapids,2019-03-24 19:00:03,15
Kali River Rapids,2019-03-24 19:05:01,30
Kali River Rapids,2019-03-24 19:10:02,30
Kali River Rapids,2019-03-24 19:15:02,35
Kali River Rapids,2019-03-24 19:20:02,25
Kali River Rapids,2019-03-24 19:25:02,25
Kali River Rapids,2019-03-24 19:30:02,25
Kali River Rapids,2019-03-24 19:35:02,20
Kali River Rapids,2019-03-24 19:40:02,20
Kali River Rapids,2019-03-24 19:45:02,15
Kali River Rapids,2019-03-24 19:50:02,5
Kali River Rapids,2019-03-24 19:55:02,5
Kali River Rapids,2019-03-24 20:00:02,5
Kali River Rapids,2019-03-25 10:05:02,5
Kali River Rapids,2019-03-25 10:10:02,30
Kali River Rapids,2019-03-25 10:15:02,30
Kali River Rapids,2019-03-25 10:20:02,35
Kali River Rapids,2019-03-25 10:25:02,40
Kali River Rapids,2019-03-25 10:30:02,40
Kali River Rapids,2019-03-25 10:35:02,45
Kali River Rapids,2019-03-25 10:40:02,45
Kali River Rapids,2019-03-25 10:45:02,50
Kali River Rapids,2019-03-25 10:50:02,85
Kali River Rapids,2019-03-25 10:55:02,85
Kali River Rapids,2019-03-25 11:00:02,85
Kali River Rapids,2019-03-25 11:05:02,85
Kali River Rapids,2019-03-25 11:10:02,85
Kali River Rapids,2019-03-25 11:15:02,85
Kali River Rapids,2019-03-25 11:20:02,85
Kali River Rapids,2019-03-25 11:25:02,85
Kali River Rapids,2019-03-25 11:30:02,85
Kali River Rapids,2019-03-25 11:35:02,85
Kali River Rapids,2019-03-25 11:40:02,85
Kali River Rapids,2019-03-25 11:45:02,85
Kali River Rapids,2019-03-25 11:50:02,85
Kali River Rapids,2019-03-25 11:55:02,85
Kali River Rapids,2019-03-25 12:00:02,85
Kali River Rapids,2019-03-25 12:05:02,85
Kali River Rapids,2019-03-25 12:10:01,85
Kali River Rapids,2019-03-25 12:15:02,50
Kali River Rapids,2019-03-25 12:20:02,50
Kali River Rapids,2019-03-25 12:25:02,50
Kali River Rapids,2019-03-25 12:30:02,50
Kali River Rapids,2019-03-25 12:35:02,50
Kali River Rapids,2019-03-25 12:40:02,50
Kali River Rapids,2019-03-25 12:45:03,50
Kali River Rapids,2019-03-25 12:50:02,35
Kali River Rapids,2019-03-25 12:55:02,35
Kali River Rapids,2019-03-25 13:00:03,35
Kali River Rapids,2019-03-25 13:05:02,40
Kali River Rapids,2019-03-25 13:10:02,40
Kali River Rapids,2019-03-25 13:15:02,45
Kali River Rapids,2019-03-25 13:20:02,75
Kali River Rapids,2019-03-25 13:25:02,95
Kali River Rapids,2019-03-25 13:30:03,95
Kali River Rapids,2019-03-25 13:35:02,95
Kali River Rapids,2019-03-25 13:40:02,95
Kali River Rapids,2019-03-25 13:45:02,95
Kali River Rapids,2019-03-25 13:50:02,95
Kali River Rapids,2019-03-25 13:55:02,95
Kali River Rapids,2019-03-25 14:00:02,95
Kali River Rapids,2019-03-25 14:05:02,95
Kali River Rapids,2019-03-25 14:10:02,95
Kali River Rapids,2019-03-25 14:15:02,95
Kali River Rapids,2019-03-25 14:20:02,75
Kali River Rapids,2019-03-25 14:25:02,80
Kali River Rapids,2019-03-25 14:30:03,80
Kali River Rapids,2019-03-25 14:35:02,80
Kali River Rapids,2019-03-25 14:40:02,80
Kali River Rapids,2019-03-25 14:45:02,85
Kali River Rapids,2019-03-25 14:50:02,90
Kali River Rapids,2019-03-25 14:55:02,90
Kali River Rapids,2019-03-25 15:00:02,90
Kali River Rapids,2019-03-25 15:05:02,90
Kali River Rapids,2019-03-25 15:10:02,90
Kali River Rapids,2019-03-25 15:15:02,90
Kali River Rapids,2019-03-25 15:20:02,90
Kali River Rapids,2019-03-25 15:25:02,90
Kali River Rapids,2019-03-25 15:30:02,90
Kali River Rapids,2019-03-25 15:35:02,100
Kali River Rapids,2019-03-25 15:40:02,100
Kali River Rapids,2019-03-25 15:45:02,100
Kali River Rapids,2019-03-25 15:50:02,95
Kali River Rapids,2019-03-25 15:55:02,100
Kali River Rapids,2019-03-25 16:00:03,100
Kali River Rapids,2019-03-25 16:05:02,95
Kali River Rapids,2019-03-25 16:10:02,95
Kali River Rapids,2019-03-25 16:15:02,95
Kali River Rapids,2019-03-25 16:20:02,95
Kali River Rapids,2019-03-25 16:25:02,85
Kali River Rapids,2019-03-25 16:30:02,85
Kali River Rapids,2019-03-25 16:35:02,85
Kali River Rapids,2019-03-25 16:40:02,75
Kali River Rapids,2019-03-25 16:45:02,70
Kali River Rapids,2019-03-25 16:50:02,65
Kali River Rapids,2019-03-25 16:55:02,65
Kali River Rapids,2019-03-25 17:00:02,55
Kali River Rapids,2019-03-25 17:05:02,55
Kali River Rapids,2019-03-25 17:10:02,50
Kali River Rapids,2019-03-25 17:15:03,35
Kali River Rapids,2019-03-25 17:20:02,35
Kali River Rapids,2019-03-25 17:25:02,35
Kali River Rapids,2019-03-25 17:30:02,25
Kali River Rapids,2019-03-25 17:35:02,25
Kali River Rapids,2019-03-25 17:40:02,25
Kali River Rapids,2019-03-25 17:45:02,25
Kali River Rapids,2019-03-25 17:50:02,30
Kali River Rapids,2019-03-25 17:55:02,30
Kali River Rapids,2019-03-25 18:00:03,30
Kali River Rapids,2019-03-25 18:05:02,30
Kali River Rapids,2019-03-25 18:10:02,40
Kali River Rapids,2019-03-25 18:15:02,40
Kali River Rapids,2019-03-25 18:25:02,60
Kali River Rapids,2019-03-25 18:30:02,60
Kali River Rapids,2019-03-25 18:35:02,80
Kali River Rapids,2019-03-25 18:40:02,80
Kali River Rapids,2019-03-25 18:45:02,80
Kali River Rapids,2019-03-25 18:50:02,80
Kali River Rapids,2019-03-25 18:55:02,80
Kali River Rapids,2019-03-25 19:00:02,80
Kali River Rapids,2019-03-26 10:05:01,5
Kali River Rapids,2019-03-26 10:10:02,20
Kali River Rapids,2019-03-26 10:15:03,20
Kali River Rapids,2019-03-26 10:20:02,25
Kali River Rapids,2019-03-26 10:25:02,25
Kali River Rapids,2019-03-26 10:30:03,25
Kali River Rapids,2019-03-26 10:35:02,30
Kali River Rapids,2019-03-26 10:40:02,30
Kali River Rapids,2019-03-26 10:45:02,30
Kali River Rapids,2019-03-26 10:50:02,35
Kali River Rapids,2019-03-26 10:55:02,35
Kali River Rapids,2019-03-26 11:00:03,35
Kali River Rapids,2019-03-26 11:05:02,40
Kali River Rapids,2019-03-26 11:10:02,65
Kali River Rapids,2019-03-26 11:15:02,45
Kali River Rapids,2019-03-26 11:20:02,60
Kali River Rapids,2019-03-26 11:25:02,80
Kali River Rapids,2019-03-26 11:30:02,80
Kali River Rapids,2019-03-26 11:35:02,80
Kali River Rapids,2019-03-26 11:40:02,90
Kali River Rapids,2019-03-26 11:45:02,90
Kali River Rapids,2019-03-26 11:50:02,90
Kali River Rapids,2019-03-26 11:55:02,100
Kali River Rapids,2019-03-26 12:00:02,100
Kali River Rapids,2019-03-26 12:05:02,100
Kali River Rapids,2019-03-26 12:10:02,100
Kali River Rapids,2019-03-26 12:15:02,100
Kali River Rapids,2019-03-26 12:20:02,80
Kali River Rapids,2019-03-26 12:25:02,80
Kali River Rapids,2019-03-26 12:30:02,80
Kali River Rapids,2019-03-26 12:35:01,80
Kali River Rapids,2019-03-26 12:40:02,80
Kali River Rapids,2019-03-26 12:45:02,65
Kali River Rapids,2019-03-26 12:50:02,65
Kali River Rapids,2019-03-26 12:55:02,70
Kali River Rapids,2019-03-26 13:00:02,70
Kali River Rapids,2019-03-26 13:05:02,70
Kali River Rapids,2019-03-26 13:10:02,65
Kali River Rapids,2019-03-26 13:15:02,65
Kali River Rapids,2019-03-26 13:20:02,70
Kali River Rapids,2019-03-26 13:25:02,65
Kali River Rapids,2019-03-26 13:30:02,65
Kali River Rapids,2019-03-26 13:35:02,65
Kali River Rapids,2019-03-26 13:40:02,65
Kali River Rapids,2019-03-26 13:45:02,60
Kali River Rapids,2019-03-26 13:50:02,65
Kali River Rapids,2019-03-26 13:55:01,100
Kali River Rapids,2019-03-26 14:00:02,100
Kali River Rapids,2019-03-26 14:05:02,100
Kali River Rapids,2019-03-26 14:10:02,100
Kali River Rapids,2019-03-26 14:15:02,100
Kali River Rapids,2019-03-26 14:20:02,100
Kali River Rapids,2019-03-26 14:25:03,100
Kali River Rapids,2019-03-26 14:30:02,100
Kali River Rapids,2019-03-26 14:35:02,80
Kali River Rapids,2019-03-26 14:40:02,75
Kali River Rapids,2019-03-26 14:45:02,75
Kali River Rapids,2019-03-26 14:50:03,75
Kali River Rapids,2019-03-26 14:55:03,80
Kali River Rapids,2019-03-26 15:00:02,80
Kali River Rapids,2019-03-26 15:05:02,80
Kali River Rapids,2019-03-26 15:10:02,80
Kali River Rapids,2019-03-26 15:15:02,65
Kali River Rapids,2019-03-26 15:20:02,60
Kali River Rapids,2019-03-26 15:25:02,55
Kali River Rapids,2019-03-26 15:30:03,50
Kali River Rapids,2019-03-26 15:35:02,50
Kali River Rapids,2019-03-26 15:40:03,50
Kali River Rapids,2019-03-26 15:45:02,50
Kali River Rapids,2019-03-26 15:50:03,45
Kali River Rapids,2019-03-26 15:55:02,45
Kali River Rapids,2019-03-26 16:00:03,45
Kali River Rapids,2019-03-26 16:05:03,45
Kali River Rapids,2019-03-26 16:10:02,45
Kali River Rapids,2019-03-26 16:15:03,45
Kali River Rapids,2019-03-26 16:20:02,45
Kali River Rapids,2019-03-26 16:25:03,45
Kali River Rapids,2019-03-26 16:30:02,50
Kali River Rapids,2019-03-26 16:35:02,50
Kali River Rapids,2019-03-26 16:40:02,50
Kali River Rapids,2019-03-26 16:45:02,55
Kali River Rapids,2019-03-26 16:50:02,50
Kali River Rapids,2019-03-26 16:55:02,55
Kali River Rapids,2019-03-26 17:00:02,70
Kali River Rapids,2019-03-26 17:05:02,55
Kali River Rapids,2019-03-26 17:10:02,60
Kali River Rapids,2019-03-26 17:15:02,60
Kali River Rapids,2019-03-26 17:20:03,55
Kali River Rapids,2019-03-26 17:25:02,55
Kali River Rapids,2019-03-26 17:30:02,55
Kali River Rapids,2019-03-26 17:35:02,55
Kali River Rapids,2019-03-26 17:40:02,60
Kali River Rapids,2019-03-26 17:45:03,60
Kali River Rapids,2019-03-26 17:50:03,65
Kali River Rapids,2019-03-26 17:55:02,65
Kali River Rapids,2019-03-26 18:00:02,65
Kali River Rapids,2019-03-26 18:05:02,60
Kali River Rapids,2019-03-26 18:10:02,55
Kali River Rapids,2019-03-26 18:15:02,55
Kali River Rapids,2019-03-26 18:20:02,50
Kali River Rapids,2019-03-26 18:25:03,55
Kali River Rapids,2019-03-26 18:30:02,55
Kali River Rapids,2019-03-26 18:35:03,50
Kali River Rapids,2019-03-26 18:40:02,55
Kali River Rapids,2019-03-26 18:45:03,50
Kali River Rapids,2019-03-26 18:50:02,45
Kali River Rapids,2019-03-26 18:55:03,45
Kali River Rapids,2019-03-26 19:00:03,40
Kali River Rapids,2019-03-27 10:05:02,5
Kali River Rapids,2019-03-27 11:05:02,20
Kali River Rapids,2019-03-27 11:10:02,20
Kali River Rapids,2019-03-27 11:15:03,20
Kali River Rapids,2019-03-27 11:20:02,20
Kali River Rapids,2019-03-27 11:25:02,25
Kali River Rapids,2019-03-27 11:30:03,25
Kali River Rapids,2019-03-27 11:35:02,25
Kali River Rapids,2019-03-27 11:40:03,25
Kali River Rapids,2019-03-27 11:45:03,25
Kali River Rapids,2019-03-27 11:50:03,15
Kali River Rapids,2019-03-27 11:55:02,15
Kali River Rapids,2019-03-27 12:00:03,15
Kali River Rapids,2019-03-27 12:05:02,20
Kali River Rapids,2019-03-27 12:10:02,20
Kali River Rapids,2019-03-27 12:15:03,20
Kali River Rapids,2019-03-27 12:20:02,20
Kali River Rapids,2019-03-27 12:25:03,20
Kali River Rapids,2019-03-27 12:30:02,20
Kali River Rapids,2019-03-27 12:35:02,20
Kali River Rapids,2019-03-27 12:40:02,20
Kali River Rapids,2019-03-27 12:45:02,20
Kali River Rapids,2019-03-27 12:50:02,10
Kali River Rapids,2019-03-27 12:55:03,15
Kali River Rapids,2019-03-27 13:00:03,15
Kali River Rapids,2019-03-27 13:05:02,15
Kali River Rapids,2019-03-27 13:10:02,15
Kali River Rapids,2019-03-27 13:15:03,20
Kali River Rapids,2019-03-27 13:20:02,20
Kali River Rapids,2019-03-27 13:25:02,25
Kali River Rapids,2019-03-27 13:30:03,25
Kali River Rapids,2019-03-27 13:35:02,30
Kali River Rapids,2019-03-27 13:40:02,30
Kali River Rapids,2019-03-27 13:45:03,45
Kali River Rapids,2019-03-27 13:50:02,45
Kali River Rapids,2019-03-27 13:55:02,45
Kali River Rapids,2019-03-27 14:00:02,50
Kali River Rapids,2019-03-27 14:05:02,50
Kali River Rapids,2019-03-27 14:10:02,50
Kali River Rapids,2019-03-27 14:15:02,50
Kali River Rapids,2019-03-27 14:20:02,55
Kali River Rapids,2019-03-27 14:25:02,55
Kali River Rapids,2019-03-27 14:30:03,55
Kali River Rapids,2019-03-27 14:35:02,50
Kali River Rapids,2019-03-27 14:40:02,50
Kali River Rapids,2019-03-27 14:45:02,50
Kali River Rapids,2019-03-27 14:50:02,40
Kali River Rapids,2019-03-27 14:55:02,30
Kali River Rapids,2019-03-27 15:00:02,25
Kali River Rapids,2019-03-27 15:05:02,25
Kali River Rapids,2019-03-27 15:10:03,25
Kali River Rapids,2019-03-27 15:15:03,25
Kali River Rapids,2019-03-27 15:20:02,25
Kali River Rapids,2019-03-27 15:25:02,25
Kali River Rapids,2019-03-27 15:30:02,30
Kali River Rapids,2019-03-27 15:35:03,35
Kali River Rapids,2019-03-27 15:40:02,35
Kali River Rapids,2019-03-27 15:45:02,35
